bids_id,age_range,attitude_towards_hypnosis,country_of_residence,description_type_1,description_type_2,description_type_3,description_type_4,effective_of_hypnoanalgesia,expectancy_1,expectancy_2,expectancy_3,expectancy_4,experiences_freetext_1,experiences_freetext_2,experiences_freetext_3,experiences_freetext_4,felt_discomfort,felt_discomfort_free_description,gender,hypnosis_depth_1,hypnosis_depth_2,hypnosis_depth_3,hypnosis_depth_4,knowledge_level_on_hypnosis,knowledge_source,knowledge_source_other,language,motivation_to_get_hypnotized,prefered_procedure,procedure_type_1,procedure_type_2,procedure_type_3,procedure_type_4,suspected_control,suspected_real_hypnosis,which_real_hypnosis,which_real_control,tried_hypnosis_before,tried_hypnosis_before_for_pain
38,25 - 34,4,Magyarország,hypnosis,hypnosis,control,control,9,8,9,6,7,"Tényleg nagyon laza és elmélyült állapotba kerültem, nagyon jó érzés volt. Szoktam időnként meditálni, ahhoz hasonlított.","Nagyon jó élmény volt, ez is hasonló a meditációban átélt élményeimhez. Most talán még mélyebbre jutottam, és volt olyan pillanat is, hogy már-már elalvás közeli állapotba kerültem.","Ez is nagyon jó élmény volt, csakugyan nagyon megnyugtató, pihentető. Igazából nem tudnám elkülöníteni a mostani állapotomat az előző két módszer által kiváltott állapottól. Most is, mint az előző kettőnél, álmodoztam, és szép jövőbeli képeket hívtam be a tudatomba.","Nagyon érdekes volt az izmokra vonatkozó előadás, úgy éreztem, elég élénken figyelek rá. Nyugodt és jó érzés volt utána csendben ülni, de elég ébernek, élénknek éreztem magam, nem éltem azt át, mint az első három módszernél.",No,,Female,9,9,8,0,6,"Heard/read about it on the internet;Personal experience (seen hypnosis used on someone else, e.g. clinical hypnosis or stage hypnosis);",,hun,8,confusion,whitenoise,confusion,relaxation,embedded,Yes,No,confusion,relaxation,No,No
39,25 - 34,5,Magyarország,control,control,hypnosis,hypnosis,8,4,0,0,4,"Kissé türelmetlen, zaklatott voltam... nehezemre esett most ellazulni, emélyülni. egy kicsit összezavart az is, hogy ellentétes instrkciók voltak (most ez hipnozis vagy sem?... a hanganyag elején az hangzik el hogy nem, majd a szövegh végül mégis erre vezet) - nekem ezen járt a fejem. Kicsit el is álmosodtam, elfáradtam, nem érzem frissnek magam - még. ","nem tudok elmélyülni, gyakorliatilag szinte teljesen éber vagyok - frusztrál hogy székben ülve kell ellazulnom ahol már másfél órát amúgy is ültem... plusz továbbra is zavaró, hogy a folyamat előtt elmondják, ez nem hipnózis, majd az \ébresztés\"" megkezdése előtt felhívják rá a figyelmet hogy akkor  ahipnózisnak vége... már a számolás előtt aktív éber vagyok mert ezek miatt nehéz ellazulni...""","sokkal jobb volt minza eddigiek, könnyebben lazultam, futott a film a fejemben. de hamar elvesztettem az érdeklődésem itt is, és elkalandoztam... visza vissza a jelenbe
","ez volt az eddigi legmélyebb, de sokkal fáradtabb vagyok most ezután",No,,Female,0,0,2,8,2,"Heard/read about it on radio, podcast;",,hun,10,confusion,relaxation,embedded,whitenoise,confusion,Yes,No,whitenoise,embedded,No,No
40,25 - 34,2,Magyarország,control,control,hypnosis,hypnosis,5,5,4,5,5,"Olyan volt, mint mielőtt elalszom. Álom szerű képek voltak a fejemben.","Igazából nem nagyon tudtam elmélyülni, egy pár perc után elkezdtem nagyon unatkozni.","Újra a majdnem elalvós állapotba kerültem, különböző képekkel a fejemben.",Most sem igazán sikerült elmélyülnöm.,No,,Female,6,0,6,2,0,,,hun,10,relaxation,confusion,embedded,relaxation,whitenoise,Yes,Yes,relaxation,confusion,No,No
41,18 - 24,4,Magyarország,hypnosis,hypnosis,control,control,6,6,6,2,2,"Az elején a egy mély megnyugvást éreztem. Ez egész sokáig eltartott, de a végén már vártam, hogy mikor nyithatom ki a szemem. Kezdett zavarni ez a \sok pihenés\"". ""","Úgy érzem ebben az elrendezésben még jobban ellazult és magamra találtam. A testem teljesen lekövette azt, amit a hipnózis vezető mondott. Itt csak az elején volt bennem egy kis ellenállás, hogy nem akarok így maradni még több percig. Haladjunk már. Azonban a végére ez teljesen elszállt. Volt hogy gondolkozram menet közben dolgokon, de most hirtelen nem is tudom visszaidézni, hogy min járt az eszem.","Ez a módszert végig idegesített. Nem nagyon akarództam figyelni. \Felébredés\"" előtt közvetlen kerültem egy nyugalmi állapotbade csak azért mert elkezdtem azon gondolkozni hogy milyen húst vegyek a hentesnél és nem arra gondoltam hogy most nekem ellazulva kell lennem. Szóval el tudtam terelni a figyelmemet.""","Ezt volt számomra a legközömbösebb. Nem is igazán figyeltem arra amit a vezető mondott. Egyáltalán nem kerültem semmilyen hipnotikus állapotba de még annyira nyugodtnak sem éreztem magam. El volt itt , mint a befőtt. Mondta a magáét és meg arra figyeltem, amire én akartam.
",No,,Male,7,9,1,0,2,Heard/read about it on the internet;Other;,Egy jó ismerősöm vett már rajta részt az egyetem keretein belül.,hun,8,relaxation,whitenoise,relaxation,confusion,embedded,Yes,Yes,relaxation,confusion,No,No
42,18 - 24,4,Magyarország,hypnosis,hypnosis,control,control,9,8,8,5,6,"Nagyon ellazultnak és nyugodtnak éreztem magam. Egyre jobban elálmosodtam, szerintem ha tovább benne maradtam volna ebben az állapotban, el is aludtam volna. Olyankor szoktam ennyire nyugodt lenni, amikor pl. strandon fekszem vagy vonaton alszom, amikor van valamilyen hasonló háttérzaj, mint itt az elején. Jó érzés volt.","Az elején nem éreztem magam annyira ellazultnak, mint az előzőnél. Kevésbé tudtam kizárni a gondolataimat, és azon gondolkodtam, mit fogok majd írni. Arra figyeltem, hogy ki kell mennem mosdóba. Aztán egy idő után kezdtem elálmosodni és éreztem, hogy elnehezül a fejem. Jó lett volna, ha kényelmesebb pl a szék, idegesített, hogy nem tudom letenni a fejem, vagy kinyújtani a lábamat. Ez elkezdett kicsit idegesíteni, és azt vártam, mikor lesz már vége. Álmosságot éreztem, de nyugodtságot nem annyira. ","Nem éreztem semmi különöset. Nyugodt voltam az elején, de aztán elkezdtem gondolkodni mindennapi dolgokon, és már el is felejtettem, hogy milyen is volt az instrukció. Már frusztrált, hogy ennyi ideje ülnöm kell és erre az érzésre figyeltem, vártam, hogy vége legyen, kicsit túl hosszúnak is tűnt ez az idő. Ki is nyílt a szemem egy pillanatra. Hamarabb vissza is tértem az éber tudatállapotba, mint kellett volna. Az instrukció sem volt különös hatással, furcsa volt. ","Semmi különöset nem éreztem. Olyan volt, mint mikor elalváshoz készülődök, már lehunytam a szemem, de még gondolkodom, stb és nem tudok olyan könnyen elaludni. Már fáradtnak éreztem magam így az utolsó gyakorlatra. Különös álmosságot vagy nyugodtságot sem éreztem.",No,,Female,10,5,1,0,3,Attended a lecture about hypnosis;Heard/read about it on the internet;,,hun,9,whitenoise,whitenoise,relaxation,confusion,embedded,No,No,relaxation,confusion,No,No
43,45 - 54,5,Magyar,control,hypnosis,control,hypnosis,5,6,4,6,9,"A testem azon részei kezdtek ellazulni, amelyekről a szövegben szó volt valamint elképzeltem az izmaimat amiről szó esett.Teljesen nyugodtnak éreztem magam.","A testem teljesen elnehezedett, szinte nem érzékeltem semmit (talpam alatt a talajt, vagy a széet amiben ülök). Érzékeltem a környezetet, de nem jutottak el hozzám a történések. Teljesen \elpilledtem\""közel voltam az alváshoz.""","Pár pillanatig nyugodtan és ellazultan éreztem magam, aztán türelmetlenül vártam a folytatás, elkezdtem gondlkozni más teendőimen és vártam a folytatást.","A testem teljesen elnehezedett és ellazult állapotban volt, szinte semmit sem érzékeltem belőle. Nagyon nyugodtnak éreztem magam és pár pillanat erejéig el is aludtam:-)",No,,Female,5,9,2,10,5,Heard/read about it on the internet;,,hun,10,whitenoise,embedded,confusion,relaxation,whitenoise,Yes,Yes,whitenoise,relaxation,No,No
44,45 - 54,0,Magyarország,hypnosis,control,hypnosis,control,7,5,5,5,0,"Lelazult állapotban voltam, amit úgy fogalmaznék meg, hogy PUHA volt. halványkék, és rózsaszín felhők között repültem az égen. MAjd tejszínhab és vattacukor jutott eszembe, olyan érzés volt, mintha ezekbe belesüppednék. Aztán ccend lett belül, egy ideig. Majd úgy éreztem fokozatosan újra éber leszek, és csak pihentem, amig újra meg nem hallottam a hangot
","Pihentető volt. Igazából a vége felé úgy éreztem lassan elalszom, kicsit olyan érzés vol, mint amikor félálomba merülök. Ebben a szakaszban érzésem szerint kevésbé voltam éber, mint az előz második felében. Testrészeim lazák voltak","Lebegés érzés. A maszk az arcomon mintha selyemmé változott volna. Előforult többször, hogy a felsőtestemet nem éreztem. Könnyűség érzés volt. És megint majdnem elaludtam, bár most az is felmerült bennem, hogy lehet, hogy el is aludtam. ELvesztettem az időérzékemet. Azt gondolom, hogy sokkal tovább tartott ez az időszak, mint amennyinek éreztem","Nem éreztem semmi különöset. Csendben ültem és pihentem, jól esett a számítógép zúgását hallgatni Gondolataim könnyűek, és simák voltak, lelazult, relxált állapotnak éltem meg",No,,Female,5,1,6,0,1,,,hun,8,embedded,embedded,whitenoise,relaxation,confusion,No,Yes,relaxation,whitenoise,No,No
45,25 - 34,4,magyarország,hypnosis,control,hypnosis,control,8,6,6,8,5,"bizsergést testszerte, elnehezedtek a végtagjaim, a vállam egy kicsit feszült és enyhe fejfájást éreztem
","ellazult állapotba kerültem, de a fejem nyomta a vállamat és nem volt kellemes érzés, néha úgy éreztem dőlök le egy kicsit a székről és ezért tartanom kellett magamat","ellazult állapot, kis szédüléssel néha és majdnem alvás közeli állapot","nagyon kellemes ellazult állapotba kerültem, nyugalmat éreztem és hogy szinte súlytalanul ülök. viszont van egy enyhe fülfájásom már a fülestől és az eeg sapkától a fejemen és az néha kizökkentett az ellazult állapotból.",Yes,"kis fejfájást az elején, ami végül elmúlt, valamint elkezdtem érezni az EEG sapka \súlyát\"" és kicsit nyomta a fejem""",Female,7,7,8,8,5,Heard/read about it on the internet;,,hun,8,relaxation,embedded,confusion,relaxation,whitenoise,No,Yes,embedded,confusion,No,No
46,18 - 24,3,Magyarország,hypnosis,control,control,hypnosis,3,3,0,0,7,"Elkalandoztak a gondolataim, néha-néha elkezdtem egy elképzelt szituációt lejátszani a fejemben, aztán időnként azon kaptam magam, hogy ez félbamaradt és gyakran felkaptam a fejem, olyan volt, mint amikor valaki épp készül elaludni és egy esésérzés után visszatér az éber állapotba. Ez történt meg többször, esésérzések után újra tudtam gondolkozni aztán megint azon kaptam magam, hogy ez félbemaradt valahol valamikor.","Elkalandoztak megint a gondolataim elképzelt szituációkat lejátszva, de mindig tudtam követni, hogy a helyszínek, szereplők, szituációk hogyan kapcsolódnak a valósághoz, vajon most miért gondolkozom ezeken. Illetve sokszor egy gondolatmenet átcsordult egy másikba, de ezt észre tudtam venni, illetve logikai kapcsolatot is fel tudtam fedezni köztük. Voltak aktívabban gondolkozós és elszenderülős pillanataim váltakozva, de nem tapasztaltam egyszer sem esésérzést, hanem mindig kevésbé hirtelen és fokozatos visszakerülést követtem vissza a kósza gondolatokhoz.","Nem különösebben éreztem semmit, annyi különös volt, hogy nem indultak el a gondolataim, nagyrészt csak relaxált voltam és észrevettem, hogy nem gondolkozom semmin és nem is érzem úgy hogy le kéne foglalni az elmém miközben nem folytak a gondolataim.","Nagyon elmélyültem, nem vagyok biztos benne, hogy elaludtam-e. Amikor megint éber voltam tudtam, hogy sok minden átszáguldott a gondolataim között, de nem tudnám felidézni mik voltak azok.",No,,Female,4,1,0,8,4,"Heard/read about it on the internet;Heard/read about it on radio, podcast;",,hun,10,whitenoise,confusion,relaxation,embedded,whitenoise,Yes,No,whitenoise,relaxation,No,No
47,18 - 24,3,Magyarország,hypnosis,hypnosis,control,control,7,8,7,7,3,"Olyan volt , mintha a fejemet tudtam volna irányítani, de a testemet nem. Az irányító hang pontosan tudta, mikor melyik állapotban vagyok és mit csinálok.De teljesen tudatomnál voltam és úgy érzem bármikor ki tudtam volna lépni a helyzetből.","Az elején úgy éreztem kevésbé tudok ellazulni mint az elsőben, de azt hiszem még jobban is sikerült. Eleinte még próbáltam arra gondolni amire, a fehér zaj közben gondoltam, de egy rövid idő múlva már csak ültem. Szinte minha nem is érezném a testem.","Lassabban tudtam belekerülni abba az állapotba, hogy nem gondolok semmire, nem is teljesen sikerült, ezért ez nem volt annyira kikapcsoló mint az előző kettő. Nem tudtam eljutni a holtpontig, de el tudtam lazulni.","Talán jobban ki tudtam kapcsolni mint az előzőben, de itt is tudatomnál volta, sőt előbbkijöttem az állapotból mint , hogy a hang szólt.",No,,Female,9,10,5,4,2,"Heard/read about it on radio, podcast;",,hun,8,whitenoise,confusion,whitenoise,embedded,relaxation,No,Yes,confusion,embedded,No,No
48,18 - 24,1,Hungary,control,control,hypnosis,hypnosis,4,1,2,5,7,"Mind drifting through random thought flashes. No structure, just random blurs of thoughts. As time goes by, the thoughts become less and less exact and \vibrant\","Random train of thougths, totally unrelated. Looking back, it is just a blur, felt kind of like a dream would","In the beginning, the induction imaginary kept replaying, then some other random thoughts came but honestly can barely remember anything, even if it was just a few seconds ago.","Complete blur, relaxed. The best way to describe it would be a lucid dream but in reverse. Instead of being aware/awake in a dream, it feels like a dream within the realm of consiousnes. Subtle difference, but i think there is a clear distinction",No,,Male,2,2,6,8,1,"Heard/read about it on the internet;Heard/read about it on radio, podcast",,eng,8,embedded,confusion,whitenoise,relaxation,embedded,No,No,embedded,confusion,No,No
49,25 - 34,4,Magyarország,hypnosis,control,hypnosis,control,6,3,0,3,0,"Úgy éreztem, mintha aludnék, ugyanakkor érzékeltem a külvilágot történéseit is (lépések a folyosón, gép zúgása). A végtagjaim mintha eltűntek volna. A számat száraznak éreztem.","Nem éreztem, hogy elmélyült állapotba kerültem volna. Olyan volt, mintha \csak\"" csukott szemmel ültem volna egy kivilágított szobában. Továbbra is érzékeltem mindent magam körül.""","Az idő nagy részében azon járt az eszem, vajon honnan ered a \fehér zaj\"" elnevezés. Olyan volt mintha végig esett volna az esővagy csobogott volna egy patak. Pihentetőnek éltem meg ezt az időszakot.""","Enyhe szédülést éreztem, az elmémet pedig üresnek.",Yes,"Fejfájás, szédülés.",Female,3,0,2,0,6,Read scientific literature about hypnosis;Heard/read about it on the internet;,,hun,10,whitenoise,confusion,relaxation,whitenoise,embedded,Yes,Yes,confusion,relaxation,No,No
50,18 - 24,3,Magyarország,control,control,hypnosis,hypnosis,6,5,7,5,7,"Először azt hittem, hogy én irányítom a gondolataimat, de aztán újra meg újra észrevettem, hogy más maguktól, mint egy ping-pong labda mennek ide-oda - hétköznapi gondolatok. Egy zeneszám is eszembe jutott. Onnan ias tudtam, hogy jól el voltam mélyülve, hogy nagyon rosszul esett, mikor megtört a csönd.","A fehérzaj a tenger zúgását idézte bennem, így onnan egy konkrét helyre, az ahhoz kapcsolódó emberekre terelődött a dondolatom, s sodródott - magától. Most mintha még jobban kontrol nélkül történt volna.",Sok kérdés merült fel bennem és jól ki tutdam kapcsolni.,"Nagyon jól kizártam a valóságot, már a szövegt végére se figyeltem, és pár kérdést tudtam tisztázni magamban.",Yes,Nehéz volt ennyi ideig ülni egy helyben.,Female,6,6,7,7,5,,Heard/read about it on the internet;,hun,8,embedded,confusion,whitenoise,relaxation,embedded,Yes,Yes,embedded,whitenoise,No,No
51,18 - 24,2,Magyarorsza'g,control,control,hypnosis,hypnosis,6,6,5,6,7,"Eloszor ellazult allapotban voltam es kellemes erzes volt ebben az  allapotban lenni, kesobb a vegefele mar inkabb kellemetlen volt, es eros fejfajast ereztem.","Nagyjából egy percig ellazult állapotban voltam, azután hirtelen erős fejfájás jött rám. A fejfájás végig megmaradt, bár a végére jelentősen enyhült.","Az elejen euforikus allapot fogott el, ami kesobb enyhult, de az alapveto joerzes megmaradt. A hipnozis masodik feleben elkezdett bizseregni a jobb tenyerem, ami megmaradt a hipnozis vegeig. A hipnozis legeslegeven, amikor kezdtem visszaterni a tudatos allapotba, enyhe fejfajas fogott el.",Az egesz folyamat soran vegig relaxalt es kiegyensulyozott allapotban voltam. Nem tortent ebben az allapotban semmilyen valtozas a hipnozis kozben.,Yes,He had headache during the first and second experimental trials,Male,4,2,7,5,2,Heard/read about it on the internet;,,hun,8,relaxation,embedded,confusion,relaxation,whitenoise,No,Yes,relaxation,confusion,No,No
52,18 - 24,-2,magyarország,control,hypnosis,control,hypnosis,4,0,3,3,2,"kicsit unatkoztam, de kellemesnek is mondhatom az érzést (odakintről behallatszott valami csapkodás, ez nem tudom, mennyiben befolyásolta az élményt, de leírom, hátha számít)","Igazából alvásközeli állapotban voltam, nem nevezném hipnózisnak, de kellemes volt. Mivel a terapeuta légzését hallottam, nem igazán tudtam ellazulni teljesen (zavaró volt, hogy a fülembe liheg).A végén olyan érzésem volt, mintha már hosszú ideje nem aludtam volna, és kicsit el is kezdtem fázni, legalábbis a hátamon hűvösebb érzés fogott el. Ha hosszú ideje ébren vagyok, van, hogy ilyen érzés fog el.","Ugyanazt, mint az előzőben, zavart a terapeuta lihegése, de ellazultam. Hipnózisba nem kerültem, de igazából arra kellett rájönnöm, hogy fogalmam sincs, milyen állapotba kellene kerülnöm pontosan, hogy azt mondhassam itt, hogy „hipnózisban voltam”","Nem vagyok benne biztos (most már), de nem emlékszem, hogy be kellett volna csuknom a szemem. Mindenesetre (valószínűleg emiatt) nem kerültem kevésbé éber állapotba, teljesen jelen voltam a történet meghallgatása közben, habár a figyelmem lankadt némileg (de ez valószínűleg az unalomból fakadt).",Yes,,Male,1,3,0,0,5,Other;,ismerőseimet hipnotizálták már,hun,3,relaxation,whitenoise,relaxation,confusion,embedded,Yes,Yes,relaxation,whitenoise,No,No
